MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HasShed
60,RL,65.0,8450,Reg,Inside,0.0,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,196.0,3.0,2.0,PConc,3.0,2.0,3.0,0.0,706.0,0.0,150.0,856.0,4.0,1,SBrkr,856,854,0,1710,1.0,0.0,2,1,3,1,3.0,8,0,5.0,Attchd,2003.0,RFn,2.0,548.0,2.0,2.0,1,0,61,0,0,0,0,NaN,0,2,2008,WD,Normal,208500.0,0
20,RL,80.0,9600,Reg,FR2,0.0,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,None,0.0,2.0,2.0,CBlock,3.0,2.0,0.0,1.0,978.0,0.0,284.0,1262.0,4.0,1,SBrkr,1262,0,0,1262,0.0,1.0,2,0,3,1,2.0,6,1,2.0,Attchd,1976.0,RFn,2.0,460.0,2.0,2.0,1,298,0,0,0,0,0,NaN,0,5,2007,WD,Normal,181500.0,0
60,RL,68.0,11250,IR1,Inside,0.0,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,162.0,3.0,2.0,PConc,3.0,2.0,2.0,0.0,486.0,0.0,434.0,920.0,4.0,1,SBrkr,920,866,0,1786,1.0,0.0,2,1,3,1,3.0,6,1,2.0,Attchd,2001.0,RFn,2.0,608.0,2.0,2.0,1,0,42,0,0,0,0,NaN,0,9,2008,WD,Normal,223500.0,0
70,RL,60.0,9550,IR1,Corner,0.0,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,None,0.0,2.0,2.0,BrkTil,2.0,3.0,3.0,1.0,216.0,0.0,540.0,756.0,3.0,1,SBrkr,961,756,0,1717,1.0,0.0,1,0,3,1,3.0,7,1,3.0,Detchd,1998.0,Unf,3.0,642.0,2.0,2.0,1,0,35,272,0,0,0,NaN,0,2,2006,WD,Abnorml,140000.0,0
60,RL,84.0,14260,IR1,FR2,0.0,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,350.0,3.0,2.0,PConc,3.0,2.0,1.0,0.0,655.0,0.0,490.0,1145.0,4.0,1,SBrkr,1145,1053,0,2198,1.0,0.0,2,1,4,1,3.0,9,1,2.0,Attchd,2000.0,RFn,3.0,836.0,2.0,2.0,1,192,84,0,0,0,0,NaN,0,12,2008,WD,Normal,250000.0,0
50,RL,85.0,14115,IR1,Inside,0.0,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,None,0.0,2.0,2.0,Wood,3.0,2.0,3.0,0.0,732.0,0.0,64.0,796.0,4.0,1,SBrkr,796,566,0,1362,1.0,0.0,1,1,1,1,2.0,5,0,5.0,Attchd,1993.0,Unf,2.0,480.0,2.0,2.0,1,40,30,0,320,0,0,MnPrv,700,10,2009,WD,Normal,143000.0,1
20,RL,75.0,10084,Reg,Inside,0.0,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,186.0,3.0,2.0,PConc,4.0,2.0,1.0,0.0,1369.0,0.0,317.0,1686.0,4.0,1,SBrkr,1694,0,0,1694,1.0,0.0,2,0,3,1,3.0,7,1,3.0,Attchd,2004.0,RFn,2.0,636.0,2.0,2.0,1,255,57,0,0,0,0,NaN,0,8,2007,WD,Normal,307000.0,0
60,RL,0.0,10382,IR1,Corner,0.0,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,Stone,240.0,2.0,2.0,CBlock,3.0,2.0,2.0,1.0,859.0,32.0,216.0,1107.0,4.0,1,SBrkr,1107,983,0,2090,1.0,0.0,2,1,3,1,2.0,7,2,2.0,Attchd,1973.0,RFn,2.0,484.0,2.0,2.0,1,235,204,228,0,0,0,NaN,350,11,2009,WD,Normal,200000.0,1
50,RM,51.0,6120,Reg,Inside,0.0,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,None,0.0,2.0,2.0,BrkTil,2.0,2.0,3.0,5.0,0.0,0.0,952.0,952.0,3.0,1,FuseF,1022,752,0,1774,0.0,0.0,2,0,2,2,2.0,8,2,2.0,Detchd,1931.0,Unf,2.0,468.0,1.0,2.0,1,90,0,205,0,0,0,NaN,0,4,2008,WD,Abnorml,129900.0,0
190,RL,50.0,7420,Reg,Corner,0.0,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,None,0.0,2.0,2.0,BrkTil,2.0,2.0,3.0,0.0,851.0,0.0,140.0,991.0,4.0,1,SBrkr,1077,0,0,1077,1.0,0.0,1,0,2,2,2.0,5,2,2.0,Attchd,1939.0,RFn,1.0,205.0,3.0,2.0,1,0,4,0,0,0,0,NaN,0,1,2008,WD,Normal,118000.0,0
